Player/Team,Type,GRD,PTS,REB,AST,STL,BLK,FOULS,TO,FGM,FGA,3PM,3PA,FTM,FTA,Game_ID,Team Name,Win,Season,OREB,DREB,MIN,Q1,Q2,Q3,Q4 
Loter F6,Player,B,10,3,4,3,0,2,0,4,7,1,3,1,1,9302,Full Court Pressure,0,3,,,,,,,
Conquerrs,Player,B+,16,6,2,0,1,1,0,8,11,0,1,0,0,9302,Full Court Pressure,0,3,,,,,,,
TOTAL,Team,B+,62,12,18,8,1,8,2,26,45,8,17,2,2,9302,Full Court Pressure,0,3,,,,,,,
DrukaDoncic,Player,A-,19,0,11,0,0,0,5,7,9,5,6,0,0,9302,Heat Check,1,3,,,,,,,
x_CTT_x,Player,B+,19,1,1,0,0,2,0,6,12,3,4,4,4,9302,Heat Check,1,3,,,,,,,
Comp2Way,Player,C+,2,1,1,0,0,1,0,1,2,0,0,0,0,9302,Heat Check,1,3,,,,,,,
Bumpregion,Player,B,6,5,1,2,0,3,1,2,7,2,6,0,0,9302,Heat Check,1,3,,,,,,,
I 800 LEEK,Player,A-,22,16,2,0,0,0,2,9,14,4,4,0,0,9302,Heat Check,1,3,,,,,,,
TOTAL,Team,B+,68,23,16,2,0,6,8,25,44,14,20,4,4,9302,Heat Check,1,3,,,,,,,
ScalyBloom6060,Player,C,16,1,11,0,0,1,8,6,11,3,7,1,1,9303,Heat Check,0,3,,,,,,,
x CTT x,Player,B,12,2,0,0,1,1,1,5,8,2,3,0,0,9303,Heat Check,0,3,,,,,,,
Comp2Way,Player,A,31,2,2,1,1,1,1,12,21,7,15,0,0,9303,Heat Check,0,3,,,,,,,
Bumpregion,Player,C,6,2,1,0,0,3,0,2,9,2,8,0,0,9303,Heat Check,0,3,,,,,,,
I 800 LEEK,Player,A-,11,20,8,1,0,0,5,5,11,1,5,0,0,9303,Heat Check,0,3,,,,,,,
TOTAL,Team,B,76,27,22,2,2,6,15,30,60,15,38,1,1,9303,Heat Check,0,3,,,,,,,
 Precision Kill,Player,A,42,2,6,0,0,1,2,16,24,10,17,0,0,9303,No Morals,1,3,,,,,,,
bufird,Player,A,26,1,6,1,0,0,0,10,14,6,9,0,0,9303,No Morals,1,3,,,,,,,
K-O-B-E-2-K-🧊,Player,A,20,2,4,5,0,2,0,8,12,4,6,0,0,9303,No Morals,1,3,,,,,,,
othellio,Player,A-,11,1,0,8,0,2,0,4,6,3,4,0,0,9303,No Morals,1,3,,,,,,,
ThaGap,Player,A+,15,16,15,0,2,1,1,6,8,2,4,1,2,9303,No Morals,1,3,,,,,,,
TOTAL,Team,A,114,22,31,14,2,6,3,44,64,25,40,1,2,9303,No Morals,1,3,,,,,,,
URGxBeast,Player,B+,21,1,5,1,0,0,5,10,21,1,8,0,0,9304,Heat Check,0,3,,,,,,,
x CTT x,Player,B,10,0,2,1,0,0,2,4,5,2,3,0,0,9304,Heat Check,0,3,,,,,,,
Comp2Way,Player,C-,2,1,0,0,0,1,1,1,4,0,3,0,0,9304,Heat Check,0,3,,,,,,,
Bumpregion,Player,C+,8,2,0,0,0,3,1,3,5,2,3,0,0,9304,Heat Check,0,3,,,,,,,
I 800 LEEK,Player,A-,10,10,3,0,0,1,0,4,8,2,5,0,0,9304,Heat Check,0,3,,,,,,,
TOTAL,Team,B-,51,14,10,2,0,5,9,22,43,7,22,0,0,9304,Heat Check,0,3,,,,,,,
 Precision Kill,Player,A+,42,2,5,2,0,0,1,16,23,10,16,0,0,9304,No Morals,1,3,,,,,,,
bufird,Player,A-,15,1,5,1,0,1,1,7,12,1,3,0,0,9304,No Morals,1,3,,,,,,,
K-O-B-E-2-K-🧊,Player,B,11,0,1,1,0,1,0,5,6,1,2,0,0,9304,No Morals,1,3,,,,,,,
othellio,Player,B+,3,5,2,3,0,0,0,1,2,1,2,0,0,9304,No Morals,1,3,,,,,,,
ThaGap,Player,A-,12,12,4,2,0,0,1,4,6,0,0,4,4,9304,No Morals,1,3,,,,,,,
TOTAL,Team,A-,83,20,17,9,0,2,3,33,49,13,23,4,4,9304,No Morals,1,3,,,,,,,
SGTDrtyHarry,Player,A,16,0,10,1,0,2,2,4,7,3,4,5,5,9305,Burn Notice,0,3,,,,,,,
BigfootXman,Player,A-,29,0,8,2,0,4,5,10,14,9,12,0,0,9305,Burn Notice,0,3,,,,,,,
og2kgrim,Player,C+,8,2,2,1,2,3,2,3,4,2,3,0,0,9305,Burn Notice,0,3,,,,,,,
x I Kno Buckeye,Player,C,12,5,0,0,0,1,1,5,11,2,7,0,0,9305,Burn Notice,0,3,,,,,,,
Duby Duby Do,Player,B+,13,10,3,1,0,0,2,5,7,0,0,3,3,9305,Burn Notice,0,3,,,,,,,
TOTAL,Team,B+,78,15,23,2,2,9,12,27,43,16,26,8,8,9305,Burn Notice,0,3,,,,,,,
DirtyJøøøYT,Player,A+,31,1,10,0,0,0,0,11,14,9,12,0,0,9305,New Vision,1,3,,,,,,,
Jack3sOnly,Player,A,31,0,3,2,1,1,1,12,16,7,10,0,0,9305,New Vision,1,3,,,,,,,
Brodie1thru5,Player,B,13,1,3,4,0,4,0,6,7,1,2,0,0,9305,New Vision,1,3,,,,,,,
SioDied,Player,B-,3,4,3,4,0,4,2,1,3,1,1,0,0,9305,New Vision,1,3,,,,,,,
lIDeeskiii,Player,A,21,5,9,0,0,1,0,10,12,1,1,0,0,9305,New Vision,1,3,,,,,,,
TOTAL,Team,B+,99,11,28,10,1,11,2,40,52,19,26,0,0,9305,New Vision,1,3,,,,,,,
SGTDrtyHarry,Player,B,9,0,5,1,0,0,2,3,12,3,10,0,0,9306,Burn Notice,0,3,,,,,,,
BigfootXman,Player,A-,23,0,7,1,0,3,4,9,17,5,10,0,0,9306,Burn Notice,0,3,,,,,,,
og2kgrim,Player,C,4,1,0,0,0,1,0,2,2,0,0,0,0,9306,Burn Notice,0,3,,,,,,,
x I Kno Buckeye,Player,B+,15,2,1,0,0,0,1,5,9,5,9,0,0,9306,Burn Notice,0,3,,,,,,,
Duby Duby Do,Player,B+,6,13,4,0,0,2,2,3,4,0,0,0,0,9306,Burn Notice,0,3,,,,,,,
TOTAL,Team,B,57,16,17,2,0,6,9,22,44,13,29,0,0,9306,Burn Notice,0,3,,,,,,,
DirtyJøøøYT,Player,A,22,0,7,1,0,0,1,9,14,4,6,0,0,9306,New Vision,1,3,,,,,,,
Jack3sOnly,Player,A,32,1,2,2,0,0,2,12,15,6,9,2,2,9306,New Vision,1,3,,,,,,,
Brodie1thru5,Player,B-,9,0,0,2,0,5,0,4,4,1,1,0,0,9306,New Vision,1,3,,,,,,,
SioDied,Player,B+,12,3,0,2,1,2,0,5,7,2,4,0,0,9306,New Vision,1,3,,,,,,,
lIDeeskiii,Player,A,2,11,13,1,0,0,0,1,1,0,0,0,0,9306,New Vision,1,3,,,,,,,
TOTAL,Team,A-,77,15,22,8,1,7,3,31,41,13,20,2,2,9306,New Vision,1,3,,,,,,,
DirtyJøøøYT,Player,B+,11,1,7,1,0,0,0,4,10,3,5,0,0,9307,New Vision,1,3,,,,,,,
Jack3sOnly,Player,A-,23,1,4,2,0,2,0,9,14,4,4,1,1,9307,New Vision,1,3,,,,,,,
Brodie1thru5,Player,B+,17,2,0,5,1,2,0,8,10,1,1,0,0,9307,New Vision,1,3,,,,,,,
FrmAZ,Player,B+,10,1,3,0,0,2,0,4,6,2,4,0,0,9307,New Vision,1,3,,,,,,,
lIDeeskiii,Player,A-,10,9,5,0,1,0,0,5,7,0,1,0,0,9307,New Vision,1,3,,,,,,,
TOTAL,Team,A-,71,14,19,8,2,6,0,30,47,10,15,1,1,9307,New Vision,1,3,,,,,,,
 Precision Kill,Player,A-,29,1,8,0,0,0,6,11,15,7,10,0,0,9307,No Morals,0,3,,,,,,,
bufird,Player,A-,19,1,0,0,1,2,0,8,12,3,6,0,0,9307,No Morals,0,3,,,,,,,
K-O-B-E-2-K-🧊,Player,C+,4,0,0,0,0,2,0,2,4,0,1,0,0,9307,No Morals,0,3,,,,,,,
othello,Player,C+,3,5,2,0,0,2,1,1,2,1,2,0,0,9307,No Morals,0,3,,,,,,,
ThaGap,Player,B+,8,8,4,0,0,1,1,4,6,0,1,0,0,9307,No Morals,0,3,,,,,,,
TOTAL,Team,B,63,15,14,0,1,7,8,26,39,11,20,0,0,9307,No Morals,0,3,,,,,,,
DirtyJøøøYT,Player,A-,18,0,5,0,0,2,1,7,14,2,7,2,2,9308,New Vision,1,3,,,,,,,
Jack3sOnly,Player,A,32,1,6,1,0,1,1,11,14,7,8,3,3,9308,New Vision,1,3,,,,,,,
Brodie1thru5,Player,B,12,0,0,4,0,3,0,5,5,2,2,0,0,9308,New Vision,1,3,,,,,,,
FrmAZ,Player,C,0,2,0,0,0,2,1,0,0,0,0,0,0,9308,New Vision,1,3,,,,,,,
lIDeeskiii,Player,A-,10,8,7,0,0,0,1,5,6,0,0,0,0,9308,New Vision,1,3,,,,,,,
TOTAL,Team,B+,72,11,18,5,0,8,5,28,39,11,17,5,5,9308,New Vision,1,3,,,,,,,
 Precision Kill,Player,A-,32,0,8,0,1,2,6,11,16,5,6,5,5,9308,No Morals,0,3,,,,,,,
bufird,Player,A-,21,0,1,1,0,2,0,8,10,5,6,0,0,9308,No Morals,0,3,,,,,,,
K-O-B-E-2-K-🧊,Player,C,0,1,0,2,0,4,0,0,0,0,0,0,0,9308,No Morals,0,3,,,,,,,
othello,Player,B-,8,4,1,1,0,1,0,3,5,2,4,0,0,9308,No Morals,0,3,,,,,,,
ThaGap,Player,B+,8,6,2,0,0,0,0,4,6,0,1,0,0,9308,No Morals,0,3,,,,,,,
TOTAL,Team,B,69,11,12,4,1,9,6,26,37,12,17,5,5,9308,No Morals,0,3,,,,,,,
LogoLarry,Player,A+,38,0,12,2,1,2,2,12,21,9,15,5,5,9309,Deadeye Gaming,0,3,,,,,,,
Im Vxnom,Player,B-,15,1,2,1,1,6,1,6,12,3,8,0,0,9309,Deadeye Gaming,0,3,,,,,,,
iM xSnypE,Player,B-,4,5,2,1,0,0,0,1,3,0,0,2,2,9309,Deadeye Gaming,0,3,,,,,,,
xsluggz,Player,B,15,1,0,3,0,3,0,6,6,3,3,0,0,9309,Deadeye Gaming,0,3,,,,,,,
Boardman lBl,Player,A-,14,4,4,0,1,0,0,6,7,0,1,2,2,9309,Deadeye Gaming,0,3,,,,,,,
TOTAL,Team,B+,86,11,20,7,3,11,3,31,49,15,27,9,9,9309,Deadeye Gaming,0,3,,,,,,,
Trifecta,Player,A+,23,0,17,0,0,0,3,7,12,6,9,3,3,9309,Krashout,1,3,,,,,,,
lIIVeno,Player,A,25,0,5,1,1,0,1,10,14,5,8,0,0,9309,Krashout,1,3,,,,,,,
RaysBoxn,Player,A-,23,0,2,1,0,1,2,9,11,5,7,0,0,9309,Krashout,1,3,,,,,,,
Fr Fella,Player,C,4,6,2,1,1,7,0,2,2,0,0,0,0,9309,Krashout,1,3,,,,,,,
II WHEEL II,Player,A-,12,11,3,0,1,3,3,6,8,0,1,0,0,9309,Krashout,1,3,,,,,,,
TOTAL,Team,B+,87,17,29,3,3,10,10,34,47,16,25,3,3,9309,Krashout,1,3,,,,,,,
DirtyJøøøYT,Player,A,18,1,11,0,0,2,2,7,9,4,5,0,0,9309,New Vision,0,3,,,,,,,
Jack3sOnly,Player,A,37,0,2,0,0,1,0,15,18,7,10,0,0,9309,New Vision,0,3,,,,,,,
Brodie1thru5,Player,C,4,0,1,1,0,4,0,1,1,1,1,1,2,9309,New Vision,0,3,,,,,,,
FrmAZ,Player,B-,0,5,2,1,0,2,1,0,2,0,2,0,0,9309,New Vision,0,3,,,,,,,
lIDeeskiii,Player,A-,15,4,6,2,0,0,3,7,8,1,1,0,0,9309,New Vision,0,3,,,,,,,
TOTAL,Team,B+,74,10,22,4,0,9,7,30,38,13,19,1,2,9309,New Vision,0,3,,,,,,,
 Precision Kill,Player,A+,35,2,15,2,0,1,1,12,18,10,13,1,1,9309,No Morals,1,3,,,,,,,
bufird,Player,C+,13,0,0,0,0,3,1,5,8,3,5,0,0,9309,No Morals,1,3,,,,,,,
K-O-B-E-2-K-🧊,Player,B,7,1,0,2,1,0,1,3,4,1,2,0,0,9309,No Morals,1,3,,,,,,,
othellio,Player,C+,2,0,0,0,0,1,1,1,2,0,1,0,0,9309,No Morals,1,3,,,,,,,
ThaGap,Player,A-,21,6,2,0,0,1,0,9,9,1,1,2,4,9309,No Morals,1,3,,,,,,,
TOTAL,Team,B+,78,9,17,6,1,4,4,30,41,15,22,3,5,9309,No Morals,1,3,,,,,,,
LogoLarry,Player,A-,41,0,6,1,0,1,1,15,18,11,13,0,0,9310,Deadeye Gaming,0,3,,,,,,,
Im Vxnom,Player,A-,14,0,3,1,0,2,0,6,11,2,5,0,0,9310,Deadeye Gaming,0,3,,,,,,,
iM xSnypE,Player,B,14,3,2,2,0,5,0,6,10,2,6,0,0,9310,Deadeye Gaming,0,3,,,,,,,
xsluggz,Player,C,3,1,3,2,1,4,1,1,2,1,1,0,0,9310,Deadeye Gaming,0,3,,,,,,,
Boardman lBl,Player,B+,8,7,1,0,0,0,1,4,7,0,1,0,0,9310,Deadeye Gaming,0,3,,,,,,,
TOTAL,Team,B,80,11,15,6,1,12,3,32,48,16,26,0,0,9310,Deadeye Gaming,0,3,,,,,,,
Trifecta,Player,A,31,1,13,0,0,3,1,10,14,7,8,4,4,9310,Krashout,1,3,,,,,,,
lIIVeno,Player,A-,26,0,4,0,0,1,1,10,16,4,7,2,2,9310,Krashout,1,3,,,,,,,
RaysBoxn,Player,C,9,1,1,0,0,1,1,4,5,1,1,0,0,9310,Krashout,1,3,,,,,,,
Fr Fella,Player,B,3,3,3,1,0,1,2,1,2,1,2,0,0,9310,Krashout,1,3,,,,,,,
II WHEEL II,Player,A-,12,10,5,0,1,1,1,6,7,0,1,0,0,9310,Krashout,1,3,,,,,,,
TOTAL,Team,B+,81,15,26,1,1,7,6,31,44,13,19,6,6,9310,Krashout,1,3,,,,,,,
DirtyJøøøYT,Player,A-,16,2,6,0,0,1,3,7,12,2,5,0,0,9311,New Vision,1,3,,,,,,,
Jack3sOnly,Player,A,23,0,7,0,0,1,1,9,11,5,7,0,0,9311,New Vision,1,3,,,,,,,
SioDied,Player,B-,4,1,1,2,0,1,0,1,3,0,1,2,2,9311,New Vision,1,3,,,,,,,
Brodie1thru5,Player,B+,14,2,0,0,0,2,0,5,6,4,5,0,0,9311,New Vision,1,3,,,,,,,
lIDeeskiii,Player,A-,8,9,3,2,0,2,2,4,5,0,1,0,0,9311,New Vision,1,3,,,,,,,
TOTAL,Team,B+,65,14,17,4,0,6,6,26,37,11,19,2,2,9311,New Vision,1,3,,,,,,,
Sinnerz ll,Player,A+,28,0,11,0,0,1,2,9,12,8,11,2,2,9311,Nightmare City,0,3,,,,,,,
islandDevil,Player,B,5,0,1,0,0,1,0,2,4,1,3,0,0,9311,Nightmare City,0,3,,,,,,,
xxmoneycashxx,Player,B-,4,0,1,3,0,3,0,2,4,0,1,0,0,9311,Nightmare City,0,3,,,,,,,
CatchingBlessing,Player,B,14,0,1,2,0,1,1,6,9,2,5,0,0,9311,Nightmare City,0,3,,,,,,,
4KJayW,Player,C+,8,6,2,0,0,4,2,4,6,0,0,0,0,9311,Nightmare City,0,3,,,,,,,
TOTAL,Team,B,59,6,16,5,0,10,5,23,35,11,20,2,2,9311,Nightmare City,0,3,,,,,,,
DirtyJøøøYT,Player,A-,26,0,5,2,0,3,6,10,11,6,7,0,0,9312,New Vision,1,3,,,,,,,
Jack3sOnly,Player,A,23,1,8,1,0,2,1,8,11,7,9,0,0,9312,New Vision,1,3,,,,,,,
SioDied,Player,B,5,0,2,1,1,1,2,2,5,1,2,0,0,9312,New Vision,1,3,,,,,,,
Brodie1thru5,Player,B+,10,0,0,1,1,1,0,4,5,2,2,0,0,9312,New Vision,1,3,,,,,,,
lIDeeskiii,Player,A-,7,10,5,0,0,2,1,3,3,1,1,0,0,9312,New Vision,1,3,,,,,,,
TOTAL,Team,A-,71,11,20,5,2,9,10,27,35,17,21,0,0,9312,New Vision,1,3,,,,,,,
Sinnerz ll,Player,A,26,0,8,2,0,1,3,9,17,8,15,0,0,9312,Nightmare City,0,3,,,,,,,
islandDevil,Player,A-,16,0,5,4,0,2,0,6,11,4,7,0,0,9312,Nightmare City,0,3,,,,,,,
xxmoneycashxx,Player,B,2,0,1,0,0,2,0,1,2,0,1,0,0,9312,Nightmare City,0,3,,,,,,,
CatchingBlessing,Player,B+,11,2,1,2,0,0,1,4,5,3,4,0,0,9312,Nightmare City,0,3,,,,,,,
4KJayW,Player,B+,12,10,4,1,0,1,2,5,8,1,1,1,2,9312,Nightmare City,0,3,,,,,,,
TOTAL,Team,A-,67,12,19,9,0,6,6,25,43,16,28,1,2,9312,Nightmare City,0,3,,,,,,,
Trifecta,Player,A+,26,1,12,1,0,1,1,9,10,8,8,0,0,9313,Krashout,1,3,,,,,,,
lIIVeno,Player,A,25,0,4,0,0,1,2,9,12,7,10,0,0,9313,Krashout,1,3,,,,,,,
JerryRiced,Player,B-,4,0,1,4,0,3,0,2,2,0,0,0,0,9313,Krashout,1,3,,,,,,,
Fr Fella,Player,C+,6,1,2,0,2,2,2,2,4,2,4,0,0,9313,Krashout,1,3,,,,,,,
II WHEEL II,Player,A,14,8,5,0,0,1,0,7,8,0,0,0,0,9313,Krashout,1,3,,,,,,,
Krashout,Total,B+,75,10,24,5,2,8,5,29,36,17,22,0,0,9313,Krashout,1,3,,,,,,,
DirtyJøøøYT,Player,C+,11,0,5,1,0,0,4,4,6,3,5,0,0,9313,New Vision,0,3,,,,,,,
Jack3sOnly,Player,A-,23,0,1,0,0,1,0,8,16,5,10,2,2,9313,New Vision,0,3,,,,,,,
Brodie1thru5,Player,B-,5,0,1,1,0,1,1,2,2,1,1,0,0,9313,New Vision,0,3,,,,,,,
SioDied,Player,C+,5,1,1,0,1,2,0,2,2,1,1,0,0,9313,New Vision,0,3,,,,,,,
lIDeeskiii,Player,A-,13,5,3,0,0,0,1,5,6,1,2,2,2,9313,New Vision,0,3,,,,,,,
New Vision,Total,B,57,6,11,2,1,4,6,21,32,11,19,4,4,9313,New Vision,0,3,,,,,,,
Trifecta,Player,A,24,1,4,3,0,0,2,8,11,5,7,3,3,9314,Krashout,1,3,,,,,,,
lIIVeno,Player,B-,10,0,0,0,1,0,0,4,11,2,5,0,0,9314,Krashout,1,3,,,,,,,
JerryRiced,Player,C+,2,1,1,4,0,2,2,1,1,0,0,0,0,9314,Krashout,1,3,,,,,,,
Fr Fella,Player,B-,10,1,3,1,0,2,0,4,5,0,1,2,2,9314,Krashout,1,3,,,,,,,
II WHEEL II,Player,B+,5,6,2,0,0,2,0,2,2,1,1,0,0,9314,Krashout,1,3,,,,,,,
Krashout,Team,B,51,9,10,8,1,6,4,19,30,8,14,5,5,9314,Krashout,1,3,,,,,,,
DirtyJøøøYT,Player,B+,11,0,4,0,0,1,3,4,8,3,6,0,0,9314,New Vision,0,3,,,,,,,
Jack3sOnly,Player,B-,8,0,5,0,0,3,3,3,6,2,2,0,0,9314,New Vision,0,3,,,,,,,
Brodie1thru5,Player,C+,6,1,0,2,0,2,0,3,6,0,1,0,0,9314,New Vision,0,3,,,,,,,
SioDied,Player,B-,2,2,2,0,0,0,1,1,2,0,1,0,0,9314,New Vision,0,3,,,,,,,
lIDeeskiii,Player,B,12,7,1,2,0,2,1,5,5,0,0,2,2,9314,New Vision,0,3,,,,,,,
New Vision,Team,B-,39,10,12,4,0,8,9,16,27,5,10,2,2,9314,New Vision,0,3,,,,,,,
Trifecta,Player,A,29,1,8,2,1,1,1,10,15,9,14,0,0,9315,Krashout,1,3,,,,,,,
lIIVeno,Player,A-,20,0,4,0,0,0,3,7,10,6,9,0,0,9315,Krashout,1,3,,,,,,,
JerryRiced,Player,C+,6,0,1,5,0,5,0,3,3,0,0,0,0,9315,Krashout,1,3,,,,,,,
Fr Fella,Player,B,10,2,3,2,0,1,2,3,5,2,4,2,2,9315,Krashout,1,3,,,,,,,
II WHEEL II,Player,B+,7,6,0,0,0,1,0,3,4,0,0,1,2,9315,Krashout,1,3,,,,,,,
Krashout,Team,B+,72,9,16,9,1,8,6,26,37,17,27,3,4,9315,Krashout,1,3,,,,,,,
DirtyJøøøYT,Player,A-,16,0,6,0,0,2,4,6,7,1,1,3,3,9315,New Vision,0,3,,,,,,,
Jack3sOnly,Player,B+,18,0,7,1,0,2,3,8,10,2,4,0,0,9315,New Vision,0,3,,,,,,,
Brodie1thru5,Player,B-,9,0,2,3,0,2,1,3,5,3,4,0,0,9315,New Vision,0,3,,,,,,,
SioDied,Player,B+,16,2,1,2,0,1,0,6,10,4,7,0,0,9315,New Vision,0,3,,,,,,,
lIDeeskiii,Player,B,4,8,3,0,0,1,1,2,4,0,1,0,0,9315,New Vision,0,3,,,,,,,
New Vision,Team,B+,63,10,19,6,0,8,9,25,36,10,17,3,3,9315,New Vision,0,3,,,,,,,
MyOllies,Player,A,31,0,6,0,0,0,2,9,13,8,12,5,5,402,Krashout,1,4,,,,,,,
RaysBoxn,Player,C+,0,0,2,5,0,2,1,0,4,0,2,0,0,402,Krashout,1,4,,,,,,,
Trifecta,Player,A,31,1,2,2,0,1,1,12,23,7,14,0,0,402,Krashout,1,4,,,,,,,
Fr Fella,Player,B-,5,6,3,0,1,2,2,2,6,1,3,0,0,402,Krashout,1,4,,,,,,,
II WHEEL II,Player,A,12,15,6,0,1,1,1,5,5,2,2,0,0,402,Krashout,1,4,,,,,,,
TOTAL,Team,B+,79,22,19,7,2,5,7,28,51,18,33,5,5,402,Krashout,1,4,,,,,,,
ZeusKryptoTV,Player,B+,23,1,11,0,0,0,6,9,15,4,7,1,1,402,Shiesty U,0,4,,,,,,,
IIMarrII,Player,B-,8,0,2,3,0,3,0,3,5,2,3,0,0,402,Shiesty U,0,4,,,,,,,
ISO864xRAW,Player,B-,11,2,1,0,1,1,0,5,11,1,2,0,0,402,Shiesty U,0,4,,,,,,,
RipXChucky,Player,B-,11,3,0,2,1,3,0,5,5,1,1,0,0,402,Shiesty U,0,4,,,,,,,
KingSimbaTV,Player,A-,15,10,3,0,0,0,1,6,9,3,5,0,0,402,Shiesty U,0,4,,,,,,,
TOTAL,Team,B,68,16,17,5,2,7,7,28,45,11,18,1,1,402,Shiesty U,0,4,,,,,,,
MyOllies,Player,B+,28,5,9,1,0,0,2,7,14,7,13,7,7,403,Krashout,1,4,,,,,,,
RaysBoxn,Player,B+,18,0,3,1,0,2,2,7,16,4,11,0,0,403,Krashout,1,4,,,,,,,
Trifecta,Player,A-,23,0,0,1,0,2,0,8,13,7,12,0,0,403,Krashout,1,4,,,,,,,
Fr Fella,Player,B+,13,5,3,0,0,1,0,5,7,3,3,0,0,403,Krashout,1,4,,,,,,,
II WHEEL II,Player,A+,23,23,8,1,1,1,1,10,13,1,1,2,2,403,Krashout,1,4,,,,,,,
TOTAL,Team,A-,105,33,23,4,1,6,5,37,63,22,40,9,9,403,Krashout,1,4,,,,,,,
ZeusKryptoTV,Player,A,16,1,11,1,0,0,3,6,12,3,9,1,1,403,Shiesty U,0,4,,,,,,,
IIMarrII,Player,B+,15,0,0,0,0,1,0,5,8,5,8,0,0,403,Shiesty U,0,4,,,,,,,
ISO864xRAW,Player,B,15,0,2,0,0,0,0,7,13,1,7,0,0,403,Shiesty U,0,4,,,,,,,
RipXChucky,Player,B+,17,2,2,2,0,3,0,7,10,2,4,1,2,403,Shiesty U,0,4,,,,,,,
KingSimbaTV,Player,B,10,9,5,0,3,1,2,3,8,1,5,3,3,403,Shiesty U,0,4,,,,,,,
TOTAL,Team,B+,73,12,20,3,3,5,5,28,51,12,33,5,6,403,Shiesty U,0,4,,,,,,,
 Precision Kill,Player,A+,32,0,18,0,0,3,3,10,16,8,14,4,4,404,No Morals,1,4,,,,,,,
BOXICK,Player,B+,12,0,3,2,0,1,2,5,7,2,3,0,0,404,No Morals,1,4,,,,,,,
IIllKrablII,Player,B,12,1,2,5,1,3,0,5,5,2,2,0,0,404,No Morals,1,4,,,,,,,
Lunatik,Player,B-,5,2,0,0,0,1,0,2,5,1,2,0,0,404,No Morals,1,4,,,,,,,
Mxntay,Player,A-,28,9,2,2,0,1,2,13,15,2,2,0,0,404,No Morals,1,4,,,,,,,
TOTAL,Team,B+,89,12,25,9,1,9,8,35,48,15,23,4,4,404,No Morals,1,4,,,,,,,
ZeusKryptoTV,Player,A+,22,1,12,0,0,0,3,8,12,4,8,2,2,404,Shiesty U,0,4,,,,,,,
ISO864xRAW,Player,B,14,2,1,0,0,0,4,4,6,2,3,4,5,404,Shiesty U,0,4,,,,,,,
BluHawk92,Player,B-,7,2,2,2,0,4,1,3,5,1,2,0,0,404,Shiesty U,0,4,,,,,,,
RipXChucky,Player,B+,12,5,3,4,0,1,0,4,6,4,4,0,0,404,Shiesty U,0,4,,,,,,,
KingSimbaTV,Player,A-,30,5,2,1,0,0,3,13,17,3,4,1,2,404,Shiesty U,0,4,,,,,,,
TOTAL,Team,B+,85,15,20,7,0,5,11,32,46,14,21,7,9,404,Shiesty U,0,4,,,,,,,
Sinnerz ll,Player,B-,8,0,2,0,0,1,2,3,6,2,5,0,0,405,Nightmare City,0,4,,,,,,,
4KJayW,Player,B+,3,0,4,2,0,1,0,1,4,1,3,0,0,405,Nightmare City,0,4,,,,,,,
xxmoneycashxx,Player,B-,8,1,0,1,0,1,1,3,5,0,0,2,2,405,Nightmare City,0,4,,,,,,,
CatchingBlessing,Player,B-,5,1,0,1,0,0,0,2,3,1,2,0,0,405,Nightmare City,0,4,,,,,,,
islandDevil,Player,B-,6,2,2,0,0,0,0,3,4,0,0,0,0,405,Nightmare City,0,4,,,,,,,
TOTAL,Team,B-,30,4,8,4,0,3,3,12,22,4,10,2,2,405,Nightmare City,0,4,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,Team Rocket,1,4,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,Team Rocket,1,4,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,Team Rocket,1,4,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,Team Rocket,1,4,,,,,,,
Sinnerz ll,Player,B+,18,0,7,1,0,0,3,7,10,4,7,0,0,406,Nightmare City,0,4,,,,,,,
4KJayW,Player,A-,26,0,2,1,0,0,2,9,14,8,11,0,0,406,Nightmare City,0,4,,,,,,,
xxmoneycashxx,Player,D,4,0,0,1,1,4,2,2,3,0,1,0,0,406,Nightmare City,0,4,,,,,,,
CatchingBlessing,Player,B-,3,3,3,1,1,4,0,1,3,1,3,0,0,406,Nightmare City,0,4,,,,,,,
islandDevil,Player,B+,12,8,4,1,0,0,3,6,8,0,0,0,0,406,Nightmare City,0,4,,,,,,,
TOTAL,Team,B,63,11,16,5,2,8,10,25,38,13,22,0,0,406,Nightmare City,0,4,,,,,,,
Trifecta,Player,A+,43,0,8,0,0,2,1,15,21,13,19,0,0,408,Krashout,0,4,,,,,,,
IIVeno,Player,B+,15,1,2,0,0,1,0,6,12,3,6,0,0,408,Krashout,0,4,,,,,,,
JerryRiced,Player,C-,8,0,2,3,0,6,1,4,7,0,3,0,0,408,Krashout,0,4,,,,,,,
Fr Fella,Player,B,5,3,2,1,1,1,1,1,3,1,3,2,2,408,Krashout,0,4,,,,,,,
II WHEEL II,Player,A-,15,11,4,0,0,1,0,6,10,1,3,2,2,408,Krashout,0,4,,,,,,,
TOTAL,Team,B+,86,15,18,4,1,11,3,32,53,18,34,4,4,408,Krashout,0,4,,,,,,,
 Precision Kill,Player,A+,56,3,11,0,0,0,1,18,24,11,17,9,9,408,No Morals,1,4,,,,,,,
